system,seed,E_total,rel_energy,Fe_n,Fe_contact,Fe_contact_frac,Fe_roughness,Fe_height_mean,Fe_spread,fe_coverage,B_n,B_contact,B_contact_frac,B_roughness,B_height_mean,B_spread
femgo,seed_9,-434.3208137096466,2.5885157170804405,25,9,0.36,0.9386163998462088,3.220847467662214,3.0577867310476723,0.10743801652892562,,,,,,
femgo,seed_9,-434.5388969320335,2.3704324946935458,25,7,0.28,0.977807011245741,3.4074363581358686,3.0497962198305437,0.09090909090909091,,,,,,
femgo,seed_9,-434.19909665822973,2.710232768497292,25,7,0.28,0.9669943208371612,3.3644221050826757,3.073537515635506,0.09090909090909091,,,,,,
femgo,seed_9,-434.36316123469965,2.5461681920273804,25,8,0.32,1.0122606037833426,3.3720517825393177,3.6634370149835878,0.10606060606060606,,,,,,
femgo,seed_9,-435.27193078577335,1.637398640953677,25,9,0.36,0.9662737424783896,3.306090114667878,2.9985045155174426,0.11666666666666667,,,,,,
femgo,seed_9,-435.26263323865345,1.6466961880735766,25,7,0.28,0.9436865173690197,3.2988406893563496,3.0655649128945637,0.11363636363636363,,,,,,
femgo,seed_9,-435.67802422493077,1.2313052017962605,25,7,0.28,0.9227778398455413,3.3387070351433743,3.022674538897796,0.11363636363636363,,,,,,
femgo,seed_9,-435.3928851821712,1.516444244555828,25,8,0.32,0.9377482470200433,3.215240911588181,3.2097540313285347,0.09848484848484848,,,,,,
femgo,seed_9,-434.5829132410946,2.326416185632411,25,7,0.28,0.9153223960259349,3.3948572250346536,3.0733821163969335,0.10416666666666667,,,,,,
femgo,seed_9,-433.94051988634465,2.968809540382381,25,8,0.32,1.0105213445762382,3.416240205482253,3.211305749342559,0.09090909090909091,,,,,,
femgo,seed_9,-435.4527511462413,1.4565782804857008,25,8,0.32,0.9607841671986075,3.282314399156329,3.1129028584091376,0.11363636363636363,,,,,,
femgo,seed_9,-434.7978102114662,2.1115192152608415,25,9,0.36,0.9913819717313852,3.2660511502317773,3.1404920562678207,0.09917355371900827,,,,,,
